fpc/out/fact/p2m2p1m1p0n100__bare_s0.log:presolved problem has 100 variables (100 bin, 0 int, 0 cont) and 23 constraints
fpc/out/fact/neos-1593097__bare_s0.log:presolved problem has 7644 variables (7644 bin, 0 int, 0 cont) and 330 constraints
fpc/out/fact/queens-30__bare_s0.log:presolved problem has 900 variables (900 bin, 0 int, 0 cont) and 900 constraints
fpc/out/fact/neos-1605061__bare_s0.log:presolved problem has 4027 variables (3570 bin, 0 int, 457 cont) and 3467 constraints
fpc/out/fact/core2586-950__bare_s0.log:presolved problem has 8708 variables (8708 bin, 0 int, 0 cont) and 2169 constraints
fpc/out/fact/blp-ic97__bare_s0.log:presolved problem has 7752 variables (7752 bin, 0 int, 0 cont) and 784 constraints
fpc/out/fact/fhnw-schedule-paira200__bare_s0.log:presolved problem has 20246 variables (20046 bin, 0 int, 200 cont) and 34145 constraints
fpc/out/fact/leo1__bare_s0.log:presolved problem has 6727 variables (6726 bin, 0 int, 1 cont) and 526 constraints
fpc/out/fact/dc1c__bare_s0.log:presolved problem has 10023 variables (8378 bin, 0 int, 1645 cont) and 2593 constraints
fpc/out/fact/t1722__bare_s0.log:presolved problem has 6418 variables (6418 bin, 0 int, 0 cont) and 338 constraints
fpc/out/fact/brazil3__bare_s0.log:presolved problem has 6532 variables (6527 bin, 5 int, 0 cont) and 2443 constraints
fpc/out/fact/ns1631475__bare_s0.log:presolved problem has 22485 variables (22470 bin, 1 int, 14 cont) and 24180 constraints
fpc/out/fact/neos-4359986-taipa__bare_s0.log:presolved problem has 25128 variables (25094 bin, 0 int, 34 cont) and 48854 constraints
fpc/out/fact/neos-5013590-toitoi__bare_s0.log:presolved problem has 27061 variables (27060 bin, 0 int, 1 cont) and 53793 constraints
fpc/out/fact/reblock420__bare_s0.log:presolved problem has 3785 variables (3785 bin, 0 int, 0 cont) and 55429 constraints
fpc/out/fact/neos-4954274-beardy__bare_s0.log:presolved problem has 10659 variables (10659 bin, 0 int, 0 cont) and 17776 constraints
fpc/out/fact/iis-hc-cov__bare_s0.log:presolved problem has 292 variables (292 bin, 0 int, 0 cont) and 9724 constraints
fpc/out/fact/mzzv11__bare_s0.log:presolved problem has 8822 variables (8587 bin, 235 int, 0 cont) and 8928 constraints
fpc/out/fact/neos-498623__bare_s0.log:presolved problem has 8628 variables (8441 bin, 0 int, 187 cont) and 1470 constraints
fpc/out/fact/chromaticindex512-7__bare_s0.log:presolved problem has 36864 variables (36864 bin, 0 int, 0 cont) and 33791 constraints
fpc/out/fact/neos-3437289-erdre__bare_s0.log:presolved problem has 12162 variables (12162 bin, 0 int, 0 cont) and 7280 constraints
fpc/out/fact/fhnw-binschedule2__bare_s0.log:presolved problem has 30961 variables (30504 bin, 456 int, 1 cont) and 23759 constraints
fpc/out/fact/mzzv42z__bare_s0.log:presolved problem has 10136 variables (9901 bin, 235 int, 0 cont) and 9866 constraints
fpc/out/fact/satellites2-60-fs__bare_s0.log:presolved problem has 29824 variables (29780 bin, 0 int, 44 cont) and 11882 constraints
fpc/out/fact/gmut-76-40__bare_s0.log:presolved problem has 12402 variables (12396 bin, 0 int, 6 cont) and 2053 constraints
fpc/out/fact/opm2-z8-s0__bare_s0.log:presolved problem has 3002 variables (3002 bin, 0 int, 0 cont) and 54114 constraints
fpc/out/fact/pb-grow22__bare_s0.log:presolved problem has 25124 variables (25124 bin, 0 int, 0 cont) and 3169 constraints
fpc/out/fact/neos-913984__bare_s0.log:presolved problem has 76000 variables (76000 bin, 0 int, 0 cont) and 1076 constraints
fpc/out/fact/bab5__bare_s0.log:presolved problem has 21432 variables (21432 bin, 0 int, 0 cont) and 4730 constraints
fpc/out/fact/sorrell7__bare_s0.log:presolved problem has 2048 variables (2048 bin, 0 int, 0 cont) and 39424 constraints
fpc/out/fact/polygonpack4-7__bare_s0.log:presolved problem has 10788 variables (10774 bin, 0 int, 14 cont) and 34352 constraints
fpc/out/fact/neos-5266653-tugela__bare_s0.log:presolved problem has 22056 variables (21432 bin, 0 int, 624 cont) and 21744 constraints
fpc/out/fact/n2seq36q__bare_s0.log:presolved problem has 22480 variables (22480 bin, 0 int, 0 cont) and 2471 constraints
fpc/out/fact/lectsched-2__bare_s0.log:presolved problem has 4009 variables (3870 bin, 139 int, 0 cont) and 8343 constraints
fpc/out/fact/bppc6-06__bare_s0.log:presolved problem has 3921 variables (3920 bin, 0 int, 1 cont) and 273 constraints
fpc/out/fact/neos-827015__bare_s0.log:presolved problem has 79347 variables (79347 bin, 0 int, 0 cont) and 7688 constraints
fpc/out/fact/core2536-691__bare_s0.log:presolved problem has 11233 variables (11233 bin, 0 int, 0 cont) and 1893 constraints
fpc/out/fact/mushroom-best__bare_s0.log:presolved problem has 8464 variables (8237 bin, 114 int, 113 cont) and 8580 constraints
fpc/out/fact/bppc6-02__bare_s0.log:presolved problem has 4783 variables (4782 bin, 0 int, 1 cont) and 309 constraints
fpc/out/fact/neos-933966__bare_s0.log:presolved problem has 8232 variables (7432 bin, 0 int, 800 cont) and 8080 constraints
fpc/out/fact/d20200__bare_s0.log:presolved problem has 3181 variables (3181 bin, 0 int, 0 cont) and 1487 constraints
fpc/out/fact/ns1828997__bare_s0.log:presolved problem has 27250 variables (27250 bin, 0 int, 0 cont) and 27600 constraints
fpc/out/fact/blp-ic98__bare_s0.log:presolved problem has 12622 variables (12622 bin, 0 int, 0 cont) and 705 constraints
fpc/out/fact/neos-933638__bare_s0.log:presolved problem has 8887 variables (8087 bin, 0 int, 800 cont) and 9407 constraints
fpc/out/fact/neos-960392__bare_s0.log:presolved problem has 52944 variables (52944 bin, 0 int, 0 cont) and 4048 constraints
fpc/out/fact/dolom1__bare_s0.log:presolved problem has 11521 variables (9720 bin, 0 int, 1801 cont) and 2850 constraints
fpc/out/fact/supportcase1__bare_s0.log:presolved problem has 29998 variables (29799 bin, 199 int, 0 cont) and 50094 constraints
fpc/out/fact/blp-ar98__bare_s0.log:presolved problem has 14228 variables (14228 bin, 0 int, 0 cont) and 1118 constraints
fpc/out/fact/neos-662469__bare_s0.log:presolved problem has 18235 variables (17907 bin, 328 int, 0 cont) and 1083 constraints
fpc/out/fact/nursesched-sprint02__bare_s0.log:presolved problem has 10210 variables (10190 bin, 20 int, 0 cont) and 3192 constraints
fpc/out/fact/nursesched-sprint-hidden09__bare_s0.log:presolved problem has 10820 variables (10800 bin, 20 int, 0 cont) and 3870 constraints
fpc/out/fact/neos-1354092__bare_s0.log:presolved problem has 13702 variables (13289 bin, 413 int, 0 cont) and 3135 constraints
fpc/out/fact/nursesched-sprint-late03__bare_s0.log:presolved problem has 11600 variables (11580 bin, 20 int, 0 cont) and 4582 constraints
fpc/out/fact/supportcase33__bare_s0.log:presolved problem has 6437 variables (6355 bin, 82 int, 0 cont) and 2657 constraints
fpc/out/fact/nsrand-ipx__bare_s0.log:presolved problem has 3798 variables (3798 bin, 0 int, 0 cont) and 535 constraints
fpc/out/fact/graph20-80-1rand__bare_s0.log:presolved problem has 14391 variables (14391 bin, 0 int, 0 cont) and 48436 constraints
fpc/out/fact/neos-3218348-suir__bare_s0.log:presolved problem has 1206 variables (1190 bin, 0 int, 16 cont) and 1133 constraints
fpc/out/fact/neos-4409277-trave__bare_s0.log:presolved problem has 14363 variables (14362 bin, 0 int, 1 cont) and 7041 constraints
fpc/out/fact/graphdraw-opmanager__bare_s0.log:presolved problem has 4812 variables (4512 bin, 96 int, 204 cont) and 75399 constraints
fpc/out/fact/lectsched-5-obj__bare_s0.log:presolved problem has 7139 variables (6990 bin, 149 int, 0 cont) and 13611 constraints
fpc/out/fact/ns1905797__bare_s0.log:presolved problem has 17914 variables (17398 bin, 4 int, 512 cont) and 50989 constraints
fpc/out/fact/core4872-1529__bare_s0.log:presolved problem has 15353 variables (15353 bin, 0 int, 0 cont) and 4003 constraints
fpc/out/fact/tbfp-network__bare_s0.log:presolved problem has 72721 variables (72721 bin, 0 int, 0 cont) and 2435 constraints
fpc/out/fact/neos6__bare_s0.log:presolved problem has 8274 variables (8120 bin, 0 int, 154 cont) and 799 constraints
fpc/out/fact/neos-885524__bare_s0.log:presolved problem has 26640 variables (26640 bin, 0 int, 0 cont) and 1560 constraints
fpc/out/fact/atlanta-ip__bare_s0.log:presolved problem has 17195 variables (16027 bin, 0 int, 1168 cont) and 19186 constraints
fpc/out/fact/neos-5221106-oparau__bare_s0.log:presolved problem has 24973 variables (24648 bin, 0 int, 325 cont) and 13873 constraints
fpc/out/fact/rmine11__bare_s0.log:presolved problem has 12245 variables (12245 bin, 0 int, 0 cont) and 97342 constraints
fpc/out/fact/academictimetablesmall__bare_s0.log:presolved problem has 23436 variables (23436 bin, 0 int, 0 cont) and 17546 constraints
fpc/out/fact/core4284-1064__bare_s0.log:presolved problem has 15676 variables (15676 bin, 0 int, 0 cont) and 3387 constraints
fpc/out/fact/lectsched-3__bare_s0.log:presolved problem has 6288 variables (6131 bin, 157 int, 0 cont) and 13376 constraints
fpc/out/fact/cdc7-4-3-2__bare_s0.log:presolved problem has 11744 variables (11744 bin, 0 int, 0 cont) and 14552 constraints
fpc/out/fact/siena1__bare_s0.log:presolved problem has 13683 variables (11775 bin, 0 int, 1908 cont) and 2401 constraints
fpc/out/fact/neos-4760493-puerua__bare_s0.log:presolved problem has 53593 variables (53592 bin, 0 int, 1 cont) and 106723 constraints
fpc/out/fact/neos-4763324-toguru__bare_s0.log:presolved problem has 53593 variables (53592 bin, 0 int, 1 cont) and 106723 constraints
fpc/out/fact/sp97ar__bare_s0.log:presolved problem has 14067 variables (14067 bin, 0 int, 0 cont) and 1633 constraints
fpc/out/fact/neos-2746589-doon__bare_s0.log:presolved problem has 40879 variables (40767 bin, 112 int, 0 cont) and 19482 constraints
fpc/out/fact/fhnw-schedule-pairb200__bare_s0.log:presolved problem has 16976 variables (16830 bin, 0 int, 146 cont) and 27269 constraints
fpc/out/fact/cryptanalysiskb128n5obj14__bare_s0.log:presolved problem has 26481 variables (26440 bin, 41 int, 0 cont) and 76950 constraints
fpc/out/fact/cryptanalysiskb128n5obj16__bare_s0.log:presolved problem has 26444 variables (26403 bin, 41 int, 0 cont) and 76852 constraints
fpc/out/fact/genus-sym-g62-2__bare_s0.log:presolved problem has 12909 variables (12908 bin, 1 int, 0 cont) and 78184 constraints
fpc/out/fact/lectsched-1__bare_s0.log:presolved problem has 6735 variables (6569 bin, 166 int, 0 cont) and 14680 constraints
fpc/out/fact/neos-4360552-sangro__bare_s0.log:presolved problem has 10260 variables (9696 bin, 564 int, 0 cont) and 30976 constraints
fpc/out/fact/neos-4722843-widden__bare_s0.log:presolved problem has 75244 variables (72590 bin, 20 int, 2634 cont) and 44608 constraints
fpc/out/fact/neos8__bare_s0.log:presolved problem has 558 variables (556 bin, 2 int, 0 cont) and 872 constraints
fpc/out/fact/circ10-3__bare_s0.log:presolved problem has 2700 variables (2700 bin, 0 int, 0 cont) and 42620 constraints
fpc/out/fact/sp98ic__bare_s0.log:presolved problem has 10876 variables (10876 bin, 0 int, 0 cont) and 796 constraints
fpc/out/fact/sp97ic__bare_s0.log:presolved problem has 12495 variables (12495 bin, 0 int, 0 cont) and 1015 constraints
fpc/out/fact/chromaticindex1024-7__bare_s0.log:presolved problem has 73728 variables (73728 bin, 0 int, 0 cont) and 67583 constraints
fpc/out/fact/s55__bare_s0.log:presolved problem has 77764 variables (77762 bin, 0 int, 2 cont) and 9515 constraints
fpc/out/fact/eilC76-2__bare_s0.log:presolved problem has 28512 variables (28512 bin, 0 int, 0 cont) and 75 constraints
fpc/out/fact/satellites2-25__bare_s0.log:presolved problem has 29842 variables (29797 bin, 0 int, 45 cont) and 16303 constraints
fpc/out/fact/tanglegram4__bare_s0.log:presolved problem has 55042 variables (55042 bin, 0 int, 0 cont) and 109248 constraints
fpc/out/fact/satellites2-40__bare_s0.log:presolved problem has 29842 variables (29797 bin, 0 int, 45 cont) and 16302 constraints
fpc/out/fact/t1717__bare_s0.log:presolved problem has 16102 variables (16102 bin, 0 int, 0 cont) and 551 constraints
fpc/out/fact/polygonpack4-10__bare_s0.log:presolved problem has 20537 variables (20517 bin, 0 int, 20 cont) and 65656 constraints
fpc/out/fact/sorrell3__bare_s0.log:presolved problem has 1024 variables (1024 bin, 0 int, 0 cont) and 169162 constraints
fpc/out/fact/n3div36__bare_s0.log:presolved problem has 20602 variables (20602 bin, 0 int, 0 cont) and 4453 constraints
fpc/out/fact/neos-4724674-aorere__bare_s0.log:presolved problem has 67726 variables (63016 bin, 22 int, 4688 cont) and 46329 constraints
fpc/out/fact/ns1904248__bare_s0.log:presolved problem has 38080 variables (38038 bin, 0 int, 42 cont) and 42126 constraints
fpc/out/fact/vpphard__bare_s0.log:presolved problem has 28694 variables (28694 bin, 0 int, 0 cont) and 25447 constraints
fpc/out/fact/neos-860300__bare_s0.log:presolved problem has 1216 variables (1216 bin, 0 int, 0 cont) and 584 constraints
fpc/out/fact/neos-3988577-wolgan__bare_s0.log:presolved problem has 25870 variables (25870 bin, 0 int, 0 cont) and 43882 constraints
fpc/out/fact/genus-g61-25__bare_s0.log:presolved problem has 10038 variables (10037 bin, 1 int, 0 cont) and 66046 constraints
fpc/out/fact/opm2-z10-s4__bare_s0.log:presolved problem has 5938 variables (5938 bin, 0 int, 0 cont) and 145433 constraints
fpc/out/fact/graph40-20-1rand__bare_s0.log:presolved problem has 29359 variables (29359 bin, 0 int, 0 cont) and 92630 constraints
fpc/out/fact/comp16-3idx__bare_s0.log:presolved problem has 51701 variables (45712 bin, 0 int, 5989 cont) and 52086 constraints
fpc/out/fact/genus-g31-8__bare_s0.log:presolved problem has 2592 variables (2591 bin, 1 int, 0 cont) and 23730 constraints
fpc/out/fact/nsr8k__bare_s0.log:presolved problem has 38322 variables (32040 bin, 0 int, 6282 cont) and 6497 constraints
fpc/out/fact/sp98ar__bare_s0.log:presolved problem has 15039 variables (15039 bin, 0 int, 0 cont) and 1342 constraints
fpc/out/fact/fast0507__bare_s0.log:presolved problem has 20676 variables (20676 bin, 0 int, 0 cont) and 440 constraints
fpc/out/fact/adult-max5features__bare_s0.log:presolved problem has 32670 variables (32597 bin, 37 int, 36 cont) and 32714 constraints
fpc/out/fact/genus-sym-g31-8__bare_s0.log:presolved problem has 3481 variables (3480 bin, 1 int, 0 cont) and 31955 constraints
fpc/out/fact/hypothyroid-k1__bare_s0.log:presolved problem has 2595 variables (2595 bin, 0 int, 0 cont) and 2642 constraints
fpc/out/fact/rail01__bare_s0.log:presolved problem has 86772 variables (86772 bin, 0 int, 0 cont) and 24478 constraints
fpc/out/fact/sing5__bare_s0.log:presolved problem has 93990 variables (85737 bin, 0 int, 8253 cont) and 32623 constraints
fpc/out/fact/adult-regularized__bare_s0.log:presolved problem has 32670 variables (32597 bin, 37 int, 36 cont) and 32713 constraints
fpc/out/fact/gmut-76-50__bare_s0.log:presolved problem has 30197 variables (30191 bin, 0 int, 6 cont) and 2054 constraints
fpc/out/fact/rail507__bare_s0.log:presolved problem has 20698 variables (20698 bin, 0 int, 0 cont) and 441 constraints
fpc/out/fact/dc1l__bare_s0.log:presolved problem has 33556 variables (33542 bin, 0 int, 14 cont) and 2140 constraints
fpc/out/fact/physiciansched6-2__bare_s0.log:presolved problem has 4769 variables (4222 bin, 0 int, 547 cont) and 6975 constraints
fpc/out/fact/fhnw-schedule-paira400__bare_s0.log:presolved problem has 80504 variables (80104 bin, 0 int, 400 cont) and 134409 constraints
fpc/out/fact/neos-956971__bare_s0.log:presolved problem has 51004 variables (51004 bin, 0 int, 0 cont) and 2278 constraints
fpc/out/fact/lr2-22dr3-333vc4v17a-t60__bare_s0.log:presolved problem has 101800 variables (89192 bin, 0 int, 12608 cont) and 95505 constraints
fpc/out/fact/sing11__bare_s0.log:presolved problem has 107803 variables (97789 bin, 0 int, 10014 cont) and 39266 constraints
fpc/out/fact/neos-957143__bare_s0.log:presolved problem has 50591 variables (50591 bin, 0 int, 0 cont) and 2067 constraints
fpc/out/fact/neos-957323__bare_s0.log:presolved problem has 56731 variables (56731 bin, 0 int, 0 cont) and 3540 constraints
fpc/out/fact/neos-4797081-pakoka__bare_s0.log:presolved problem has 11753 variables (9986 bin, 1767 int, 0 cont) and 4991 constraints
fpc/out/fact/neos-941313__bare_s0.log:presolved problem has 114153 variables (114153 bin, 0 int, 0 cont) and 13100 constraints
fpc/out/fact/neos-780889__bare_s0.log:presolved problem has 110267 variables (110267 bin, 0 int, 0 cont) and 26397 constraints
fpc/out/fact/rmine13__bare_s0.log:presolved problem has 23936 variables (23936 bin, 0 int, 0 cont) and 197111 constraints
fpc/out/fact/physiciansched6-1__bare_s0.log:presolved problem has 9491 variables (5208 bin, 0 int, 4283 cont) and 13214 constraints
fpc/out/fact/neos-5149806-wieprz__bare_s0.log:presolved problem has 24846 variables (24843 bin, 3 int, 0 cont) and 395711 constraints
fpc/out/fact/neos-4532248-waihi__bare_s0.log:presolved problem has 86262 variables (86261 bin, 0 int, 1 cont) and 166143 constraints
fpc/out/fact/neos-4295773-pissa__bare_s0.log:presolved problem has 68263 variables (68261 bin, 0 int, 2 cont) and 79824 constraints
fpc/out/fact/8div-n59k10__bare_s0.log:presolved problem has 6133 variables (6128 bin, 5 int, 0 cont) and 2056 constraints
fpc/out/fact/gmut-75-50__bare_s0.log:presolved problem has 35915 variables (35909 bin, 0 int, 6 cont) and 2048 constraints
fpc/out/fact/graphdraw-grafo2__bare_s0.log:presolved problem has 9258 variables (8844 bin, 134 int, 280 cont) and 203486 constraints
fpc/out/fact/neos-3695882-vesdre__bare_s0.log:presolved problem has 6125 variables (5945 bin, 0 int, 180 cont) and 69020 constraints
fpc/out/fact/nursesched-medium04__bare_s0.log:presolved problem has 29636 variables (29582 bin, 54 int, 0 cont) and 8637 constraints
fpc/out/fact/neos-4306827-ravan__bare_s0.log:presolved problem has 46922 variables (43807 bin, 281 int, 2834 cont) and 36488 constraints
fpc/out/fact/supportcase10__bare_s0.log:presolved problem has 8912 variables (8912 bin, 0 int, 0 cont) and 80611 constraints
fpc/out/fact/nw04__bare_s0.log:presolved problem has 46143 variables (46143 bin, 0 int, 0 cont) and 35 constraints
fpc/out/fact/neos-4391920-timok__bare_s0.log:presolved problem has 93844 variables (93785 bin, 0 int, 59 cont) and 179646 constraints
fpc/out/fact/supportcase6__bare_s0.log:presolved problem has 129932 variables (129932 bin, 0 int, 0 cont) and 763 constraints
fpc/out/fact/nursesched-medium-hint03__bare_s0.log:presolved problem has 33990 variables (33930 bin, 60 int, 0 cont) and 13672 constraints
fpc/out/fact/netdiversion__bare_s0.log:presolved problem has 128968 variables (128968 bin, 0 int, 0 cont) and 99583 constraints
fpc/out/fact/neos-4260495-otere__bare_s0.log:presolved problem has 72439 variables (67365 bin, 22 int, 5052 cont) and 57299 constraints
fpc/out/fact/vpphard2__bare_s0.log:presolved problem has 79478 variables (79478 bin, 0 int, 0 cont) and 77117 constraints
fpc/out/fact/neos-2669500-cust__bare_s0.log:presolved problem has 95760 variables (95200 bin, 560 int, 0 cont) and 79832 constraints
fpc/out/fact/neos-876808__bare_s0.log:presolved problem has 86956 variables (86956 bin, 0 int, 0 cont) and 85516 constraints
fpc/out/fact/neos-3555904-turama__bare_s0.log:presolved problem has 18041 variables (18041 bin, 0 int, 0 cont) and 54158 constraints
fpc/out/fact/satellites3-25__bare_s0.log:presolved problem has 71556 variables (71500 bin, 0 int, 56 cont) and 36582 constraints
fpc/out/fact/neos-4413714-turia__bare_s0.log:presolved problem has 190202 variables (190201 bin, 0 int, 1 cont) and 191904 constraints
fpc/out/fact/opm2-z12-s8__bare_s0.log:presolved problem has 10373 variables (10373 bin, 0 int, 0 cont) and 298805 constraints
fpc/out/fact/var-smallemery-m6j6__bare_s0.log:presolved problem has 2827 variables (2826 bin, 0 int, 1 cont) and 7940 constraints
fpc/out/fact/bab1__bare_s0.log:presolved problem has 5661 variables (5661 bin, 0 int, 0 cont) and 6469 constraints
fpc/out/fact/neos-3352863-ancoa__bare_s0.log:presolved problem has 20045 variables (20045 bin, 0 int, 0 cont) and 168 constraints
fpc/out/fact/neos-1140050__bare_s0.log:presolved problem has 38640 variables (36960 bin, 0 int, 1680 cont) and 3795 constraints
fpc/out/fact/ns1849932__bare_s0.log:presolved problem has 128163 variables (127806 bin, 0 int, 357 cont) and 128032 constraints
fpc/out/fact/neos-565672__bare_s0.log:presolved problem has 153902 variables (139376 bin, 0 int, 14526 cont) and 139377 constraints
fpc/out/fact/neos-954925__bare_s0.log:presolved problem has 76496 variables (76496 bin, 0 int, 0 cont) and 2685 constraints
fpc/out/fact/square23__bare_s0.log:presolved problem has 4345 variables (4323 bin, 22 int, 0 cont) and 559 constraints
fpc/out/fact/satellites4-25__bare_s0.log:presolved problem has 84312 variables (84253 bin, 0 int, 59 cont) and 42576 constraints
fpc/out/fact/rvb-sub__bare_s0.log:presolved problem has 33446 variables (33446 bin, 0 int, 0 cont) and 203 constraints
fpc/out/fact/rmine15__bare_s0.log:presolved problem has 42366 variables (42366 bin, 0 int, 0 cont) and 358323 constraints
fpc/out/fact/sorrell4__bare_s0.log:presolved problem has 2048 variables (2048 bin, 0 int, 0 cont) and 504451 constraints
fpc/out/fact/neos-4531126-vouga__bare_s0.log:presolved problem has 169898 variables (169898 bin, 0 int, 0 cont) and 9194 constraints
fpc/out/fact/eilA101-2__bare_s0.log:presolved problem has 65724 variables (65724 bin, 0 int, 0 cont) and 100 constraints
fpc/out/fact/physiciansched3-4__bare_s0.log:presolved problem has 9340 variables (5249 bin, 0 int, 4091 cont) and 13249 constraints
fpc/out/fact/scpj4scip__bare_s0.log:presolved problem has 99939 variables (99939 bin, 0 int, 0 cont) and 1000 constraints
fpc/out/fact/scpk4__bare_s0.log:presolved problem has 99970 variables (99970 bin, 0 int, 0 cont) and 2000 constraints
fpc/out/fact/ds__bare_s0.log:presolved problem has 64030 variables (64030 bin, 0 int, 0 cont) and 625 constraints
fpc/out/fact/fhnw-schedule-pairb400__bare_s0.log:presolved problem has 72376 variables (72072 bin, 0 int, 304 cont) and 117824 constraints
fpc/out/fact/neos-4533806-waima__bare_s0.log:presolved problem has 46464 variables (46464 bin, 0 int, 0 cont) and 7325 constraints
fpc/out/fact/physiciansched3-3__bare_s0.log:presolved problem has 12185 variables (6865 bin, 0 int, 5320 cont) and 35915 constraints
fpc/out/fact/wnq-n100-mw99-14__bare_s0.log:presolved problem has 10000 variables (10000 bin, 0 int, 0 cont) and 656900 constraints
fpc/out/fact/neos-4555749-wards__bare_s0.log:presolved problem has 42732 variables (42732 bin, 0 int, 0 cont) and 8114 constraints
fpc/out/fact/neos-525149__bare_s0.log:presolved problem has 3348 variables (3308 bin, 0 int, 40 cont) and 2570 constraints
fpc/out/fact/bab6__bare_s0.log:presolved problem has 103560 variables (103560 bin, 0 int, 0 cont) and 19142 constraints
fpc/out/fact/graph40-40-1rand__bare_s0.log:presolved problem has 97500 variables (97500 bin, 0 int, 0 cont) and 342600 constraints
fpc/out/fact/co-100__bare_s0.log:presolved problem has 22152 variables (22152 bin, 0 int, 0 cont) and 5898 constraints
fpc/out/fact/pb-fit2d__bare_s0.log:presolved problem has 118500 variables (118500 bin, 0 int, 0 cont) and 108036 constraints
fpc/out/fact/neos-3402294-bobin__bare_s0.log:presolved problem has 780 variables (768 bin, 0 int, 12 cont) and 32932 constraints
fpc/out/fact/academictimetablebig__bare_s0.log:presolved problem has 155887 variables (155887 bin, 0 int, 0 cont) and 147189 constraints
fpc/out/fact/neos-4562542-watut__bare_s0.log:presolved problem has 65016 variables (65016 bin, 0 int, 0 cont) and 8372 constraints
fpc/out/fact/bab2__bare_s0.log:presolved problem has 146072 variables (146072 bin, 0 int, 0 cont) and 16719 constraints
fpc/out/fact/neos-3634244-kauru__bare_s0.log:presolved problem has 4074 variables (4073 bin, 0 int, 1 cont) and 330924 constraints
fpc/out/fact/roi5alpha10n8__bare_s0.log:presolved problem has 29435 variables (29236 bin, 0 int, 199 cont) and 2920 constraints
fpc/out/fact/scpl4__bare_s0.log:presolved problem has 199912 variables (199912 bin, 0 int, 0 cont) and 2000 constraints
fpc/out/fact/8div-n59k11__bare_s0.log:presolved problem has 12276 variables (12271 bin, 5 int, 0 cont) and 4103 constraints
fpc/out/fact/supportcase22__bare_s0.log:presolved problem has 6489 variables (6489 bin, 0 int, 0 cont) and 259617 constraints
fpc/out/fact/n3seq24__bare_s0.log:presolved problem has 119856 variables (119856 bin, 0 int, 0 cont) and 5950 constraints
fpc/out/fact/ivu52__bare_s0.log:presolved problem has 131821 variables (131821 bin, 0 int, 0 cont) and 2110 constraints
fpc/out/fact/square31__bare_s0.log:presolved problem has 10445 variables (10415 bin, 30 int, 0 cont) and 1001 constraints
fpc/out/fact/neos-5052403-cygnet__bare_s0.log:presolved problem has 27593 variables (27593 bin, 0 int, 0 cont) and 19134 constraints
fpc/out/fact/ds-big__bare_s0.log:presolved problem has 170823 variables (170823 bin, 0 int, 0 cont) and 1069 constraints
