# name	mps	tlp	TL	pilot	n_bin	n_cont	zlp	zinc
# 272 istanze, t_LP <= 5 s; pilota found=176 failed=96 slow=0; somma TL=7107 s
polygonpack3-15	/nfsd/rop/instances/miplib2017/polygonpack3-15.mps.gz	1.2967	26	found	44207	30	-114052462.32075061	-8666009.88547259
polygonpack4-10	/nfsd/rop/instances/miplib2017/polygonpack4-10.mps.gz	0.5742	20	found	20517	20	-93676953.47010002	-17151558.595305927
polygonpack4-15	/nfsd/rop/instances/miplib2017/polygonpack4-15.mps.gz	1.2811	26	found	44207	30	-114052801.79086004	-13253730.468593488
polygonpack4-7	/nfsd/rop/instances/miplib2017/polygonpack4-7.mps.gz	0.2738	20	found	10774	14	-75324958.8742	-7827406.4712484395
polygonpack5-15	/nfsd/rop/instances/miplib2017/polygonpack5-15.mps.gz	1.4781	30	found	48133	30	-66030132.70000622	-5728822.241801443
probportfolio	/nfsd/rop/instances/miplib2017/probportfolio.mps.gz	0.0027	20	found	300	20	5.0	21.77732358258245
queens-30	/nfsd/rop/instances/miplib2017/queens-30.mps.gz	0.5239	20	found	900	0	-70.91268901960353	0.0
rail507	/nfsd/rop/instances/miplib2017/rail507.mps.gz	0.8114	20	found	63009	10	172.14556667654887	188.0
ramos3	/nfsd/rop/instances/miplib2017/ramos3.mps.gz	4.4315	89	found	2187	0	145.79999999999978	215.0
reblock115	/nfsd/rop/instances/miplib2017/reblock115.mps.gz	0.1100	20	found	1150	0	-39365983.337347075	-16564961.817489946
reblock166	/nfsd/rop/instances/miplib2017/reblock166.mps.gz	0.4934	20	found	1660	0	-886882876.9658287	-308767463.895584
reblock354	/nfsd/rop/instances/miplib2017/reblock354.mps.gz	2.8148	56	found	3540	0	-39641692.45229166	-29377201.4309154
reblock420	/nfsd/rop/instances/miplib2017/reblock420.mps.gz	2.3581	47	found	4200	0	-886535897.5221374	-400885292.90160805
rlp1	/nfsd/rop/instances/miplib2017/rlp1.mps.gz	0.0021	20	found	450	11	13.244444444444449	20.0
rocII-10-11	/nfsd/rop/instances/miplib2017/rocII-10-11.mps.gz	1.0581	21	failed	22616	352	-11.97486483837696	
rocII-5-11	/nfsd/rop/instances/miplib2017/rocII-5-11.mps.gz	0.3699	20	failed	11341	182	-11.949729676753922	
rocII-8-11	/nfsd/rop/instances/miplib2017/rocII-8-11.mps.gz	0.7936	20	failed	18106	284	-11.968581047971202	
roi2alpha3n4	/nfsd/rop/instances/miplib2017/roi2alpha3n4.mps.gz	0.6140	20	failed	6642	174	-83.88099327640492	
roi5alpha10n8	/nfsd/rop/instances/miplib2017/roi5alpha10n8.mps.gz	2.4091	48	failed	105950	200	-91.91636036871482	
rvb-sub	/nfsd/rop/instances/miplib2017/rvb-sub.mps.gz	0.5209	20	failed	33763	2	11.206514277509235	
s1234	/nfsd/rop/instances/miplib2017/s1234.mps.gz	3.3512	67	failed	2945	0	0.3619246607604751	
s55	/nfsd/rop/instances/miplib2017/s55.mps.gz	2.2717	45	found	78137	4	-22.151773159006794	-22.151773159006815
satellites2-25	/nfsd/rop/instances/miplib2017/satellites2-25.mps.gz	0.4168	20	failed	34324	1054	-30.000000000000004	
satellites2-40	/nfsd/rop/instances/miplib2017/satellites2-40.mps.gz	0.3610	20	found	34324	1054	-30.000000000000004	43.0
satellites2-60-fs	/nfsd/rop/instances/miplib2017/satellites2-60-fs.mps.gz	0.2424	20	found	34324	1054	-30.0	45.0
satellites4-25	/nfsd/rop/instances/miplib2017/satellites4-25.mps.gz	3.2720	65	failed	93747	1890	-41.000000000000014	
scpj4scip	/nfsd/rop/instances/miplib2017/scpj4scip.mps.gz	1.4674	29	failed	99947	0	104.08379570031124	
scpk4	/nfsd/rop/instances/miplib2017/scpk4.mps.gz	3.1838	64	failed	100000	0	280.5442001972564	
seymour	/nfsd/rop/instances/miplib2017/seymour.mps.gz	0.4898	20	found	1372	0	403.8464741251928	448.0
sorrell3	/nfsd/rop/instances/miplib2017/sorrell3.mps.gz	0.7476	20	found	1024	0	-512.0	0.0
sorrell4	/nfsd/rop/instances/miplib2017/sorrell4.mps.gz	3.3384	67	found	2048	0	-1024.0	0.0
sorrell7	/nfsd/rop/instances/miplib2017/sorrell7.mps.gz	1.0901	22	found	2048	0	-1024.0	0.0
sorrell8	/nfsd/rop/instances/miplib2017/sorrell8.mps.gz	0.0781	20	found	2046	0	-1023.0	0.0
sp97ar	/nfsd/rop/instances/miplib2017/sp97ar.mps.gz	0.3086	20	found	14101	0	652560391.2475646	1302000071.04
sp97ic	/nfsd/rop/instances/miplib2017/sp97ic.mps.gz	0.2156	20	found	12497	0	422097069.2635893	882864454.7200001
sp98ar	/nfsd/rop/instances/miplib2017/sp98ar.mps.gz	0.3421	20	found	15085	0	524401296.55720735	1038205219.04
sp98ic	/nfsd/rop/instances/miplib2017/sp98ic.mps.gz	0.1887	20	found	10894	0	444277568.9341514	1071397444.1600001
supportcase14	/nfsd/rop/instances/miplib2017/supportcase14.mps.gz	0.0023	20	found	304	0	271.99999999999983	293.0
supportcase16	/nfsd/rop/instances/miplib2017/supportcase16.mps.gz	0.0027	20	found	319	0	272.00000000000017	309.0
supportcase18	/nfsd/rop/instances/miplib2017/supportcase18.mps.gz	0.0381	20	failed	13410	0	47.18666666666666	
supportcase22	/nfsd/rop/instances/miplib2017/supportcase22.mps.gz	2.7384	55	failed	7129	0	0.0	
supportcase26	/nfsd/rop/instances/miplib2017/supportcase26.mps.gz	0.0027	20	found	396	40	1288.1021611356975	2201.879396023007
supportcase3	/nfsd/rop/instances/miplib2017/supportcase3.mps.gz	1.3260	27	failed	4191	0	0.0	
supportcase4	/nfsd/rop/instances/miplib2017/supportcase4.mps.gz	0.4288	20	failed	3162	0	0.0	
swath	/nfsd/rop/instances/miplib2017/swath.mps.gz	0.0219	20	found	6724	81	334.49685810000005	15177.890650000003
t1717	/nfsd/rop/instances/miplib2017/t1717.mps.gz	1.6952	34	failed	73885	0	134531.02142841756	
t1722	/nfsd/rop/instances/miplib2017/t1722.mps.gz	0.3476	20	found	36630	0	98815.40761087413	422768.0
tanglegram4	/nfsd/rop/instances/miplib2017/tanglegram4.mps.gz	0.3452	20	failed	56048	0	0.0	
tanglegram6	/nfsd/rop/instances/miplib2017/tanglegram6.mps.gz	0.0538	20	failed	9182	0	0.0	
tbfp-bigm	/nfsd/rop/instances/miplib2017/tbfp-bigm.mps.gz	0.1696	20	found	2404	2	-178.1539880549008	170.378472217
toll-like	/nfsd/rop/instances/miplib2017/toll-like.mps.gz	0.0334	20	failed	2883	0	0.0	
trento1	/nfsd/rop/instances/miplib2017/trento1.mps.gz	3.1899	64	found	6415	1272	5182758.848055603	577847148.0245999
v150d30-2hopcds	/nfsd/rop/instances/miplib2017/v150d30-2hopcds.mps.gz	0.1338	20	found	150	0	27.617490375272826	52.0
var-smallemery-m6j6	/nfsd/rop/instances/miplib2017/var-smallemery-m6j6.mps.gz	0.9612	20	found	5606	2	-156.0562681225369	-97.4375
vpphard2	/nfsd/rop/instances/miplib2017/vpphard2.mps.gz	0.6795	20	failed	199999	0	0.0	
vpphard	/nfsd/rop/instances/miplib2017/vpphard.mps.gz	0.2686	20	found	51471	0	0.0	14582.0
wnq-n100-mw99-14	/nfsd/rop/instances/miplib2017/wnq-n100-mw99-14.mps.gz	3.7184	74	found	10000	0	185.26315789473685	3128.0
z26	/nfsd/rop/instances/miplib2017/z26.mps.gz	3.3998	68	found	17937	0	-1651.937499999999	-56.0
